Game,Release_Year,Genre_Category,research_category,diversity_subcategory,uses_drse,num_drse,Quartz,Opal,Amethyst,Citrine,Jasper,Emerald,Aquamarine,Diamond,Ruby,Sapphire,Pearl,Topaz,Garnet,Sunstone,Jade,Obsidian,Unique_Minerals_Gems,num_standard_gems,unique_mineral_count,total_mineral_diversity,has_real_minerals,real_mineral_count,diversity_category,cluster,PC1,PC2
7 Days to Die,2013.0,Survival,D/R/S/E Cultural Default,,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Iron, Lead, Coal, Nitrate, Oil Shale, Silver, Gold, Raw Diamond",1,8,9,1,9,Medium,0,-1.7374878093260793,0.5779032041551542
Age of Empires,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Age of Empires II,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone",0,2,2,0,2,Low,-1,,
Age of Empires III,,strategy_4x_rts,D/R/S/E Cultural Default,,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Coal, Copper, Salt, Silver, Tin, Diamond",1,6,7,1,7,Medium,-1,,
Age of Empires IV,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Aground,,mining_survival,D/R/S/E Cultural Default,,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Coal, Iron, Gold, Titanium, Uranium, Quartz, Silicon",1,7,8,1,0,Medium,-1,,
Albion Online,,mmo_mmorpg,True Mineralogical Diversity,,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Limestone, Granite, Basalt, Copper, Iron, Runite",2,6,8,1,8,Medium,-1,,
Atelier Ayesha,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Elie,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Escha & Logy,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Firis,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Iris 2: The Azoth of Destiny,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Iris 3: Grand Phantasm,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Iris: Eternal Mana,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Judie,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Lilie,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Lulua,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Lydie & Suelle,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Marie,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
